Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
395439756997," Front, Passenger Side, Outer Bumper Grille For Volkswagen Touareg 2004-2007",,CAR-VW1039112,0,FIXED_PRICE,USD,12.62,,,12.62,0,,,May-31-24 05:00:29 PDT,Apr-30-25 05:00:29 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395866811465,"New Front, Driver Side Bumper Retainer For BMW 740i 2013-2015",,CAR-BM1042114,0,FIXED_PRICE,USD,12.62,,,12.62,0,,,Nov-04-24 06:21:15 PST,Apr-04-25 06:21:15 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395550386264," Front, Pass Side, Interior Door Handle Trim For Mitsubishi Eclipse 1995-1999",,CAR-MI1359109,10,FIXED_PRICE,USD,12.65,,,12.65,0,,,Jul-23-24 13:56:32 PDT,Apr-23-25 13:56:32 PDT,Door Handles,179851,,,New,,,,,,US,,,
395254435883,New Passenger Side Grille Trim For Hyundai Elantra 2010-2010,,CAR-HY1213100,0,FIXED_PRICE,USD,12.68,,,12.68,0,,,Mar-07-24 20:04:12 PST,Apr-07-25 20:04:12 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395550388112, Passenger Side Lift Support For Mitsubishi Outlander 2007-2013,,CAR-MI1910107,10,FIXED_PRICE,USD,12.69,,,12.69,0,,,Jul-23-24 13:58:45 PDT,Apr-23-25 13:58:45 PDT,Lift Supports & Prop Rods,262158,,,New,,,,,,US,,,
396249954524, Washer Reservoir Filler Neck For Honda Fit 2007-2008,,CAR-HO1289100,0,FIXED_PRICE,USD,12.75,,,12.75,0,,,Feb-26-25 08:54:44 PST,Apr-26-25 08:54:44 PDT,Expansion & Overflow Tanks,174030,,,New,,,,,,US,,,
395261631253,"New Front, Passenger Side Fender Liner For Volvo S40 2000-2000",,CAR-VO1249103,3,FIXED_PRICE,USD,12.81,,,12.81,0,,,Mar-11-24 06:40:22 PDT,Apr-11-25 06:40:22 PDT,Fenders,33644,,,New,,,,,,US,,,
395258175809,"New Front, Driver Side, Rear Section Fender Liner For Volkswagen Eos 2007-2007",,CAR-VW1762100,1,FIXED_PRICE,USD,12.82,,,12.82,0,,,Mar-09-24 11:28:55 PST,Apr-09-25 11:28:55 PDT,Fenders,33644,,,New,,,,,,US,,,
395254445555,New Passenger Side Grille Trim For Hyundai Elantra 2010-2010,,CAR-HY1215100,9,FIXED_PRICE,USD,12.84,,,12.84,0,,,Mar-07-24 20:08:28 PST,Apr-07-25 20:08:28 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395299411092," New Front, Driver Side Bumper Bracket For Toyota Corolla 2009-2010",,CAR-TO1042110,10,FIXED_PRICE,USD,12.85,,,12.85,0,,,Mar-27-24 09:55:46 PDT,Apr-27-25 09:55:46 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299493411," New Front, Passenger Side Bumper Bracket For Buick LaCrosse 2017-2019",,CAR-GM1043132,10,FIXED_PRICE,USD,12.95,,,12.95,0,,,Mar-27-24 10:41:06 PDT,Apr-27-25 10:41:06 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299411086," New Front, Passenger Side Bumper Bracket For Toyota Corolla 2009-2010",,CAR-TO1043110,10,FIXED_PRICE,USD,12.96,,,12.96,0,,,Mar-27-24 09:55:46 PDT,Apr-27-25 09:55:46 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299627544," New Front, Driver Side Bumper Bracket For Honda Civic 2006-2011",,CAR-HO1042114,10,FIXED_PRICE,USD,13,,,13,0,,,Mar-27-24 12:18:20 PDT,Apr-27-25 12:18:20 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395628892139," Front, Passenger Side Fog Light Trim For Toyota Corolla 2014-2014",,CAR-TO1039171,7,FIXED_PRICE,USD,13.05,,,13.05,0,,,Aug-29-24 15:51:42 PDT,Apr-29-25 15:51:42 PDT,Fog Light Assemblies,33709,,,New,,,,,,US,,,
395299629287," New Front, Driver Side Bumper Bracket For Toyota Avalon 2013-2018",,CAR-TO1032114,10,FIXED_PRICE,USD,13.09,,,13.09,0,,,Mar-27-24 12:19:40 PDT,Apr-27-25 12:19:40 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395301593755," New Front, Driver Side Bumper Retainer For Mazda 3 2014-2018",,CAR-MA1032110,10,FIXED_PRICE,USD,13.1,,,13.1,0,,,Mar-28-24 08:04:47 PDT,Apr-28-25 08:04:47 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395824666928,New Driver Side Engine Splash Shield For Suzuki Aerio 2002-2007,,CAR-SZ1248113,0,FIXED_PRICE,USD,13.1,,,13.1,0,,,Oct-24-24 10:22:31 PDT,Apr-24-25 10:22:31 PDT,Splash Guards & Mud Flaps,50455,,,New,,,,,,US,,,
395299566030," New Front, Passenger Side Bumper Bracket For Hyundai Sonata 2011-2014",,CAR-HY1033102,1,FIXED_PRICE,USD,13.13,,,13.13,0,,,Mar-27-24 11:25:55 PDT,Apr-27-25 11:25:55 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395350504847, New Driver Side Engine Splash Shield For Kia Rio 2006-2011,,CAR-KI1228108,0,FIXED_PRICE,USD,13.13,,,13.13,0,,,Apr-19-24 13:07:35 PDT,Apr-19-25 13:07:35 PDT,Splash Guards & Mud Flaps,50455,,,New,,,,,,US,,,
